0x00370EC5	煌雷霹雳弩 
0x0EE9CD73	活力剂
0x0F0C0257	锁刃龙猫剑α
0x0F106BF8	骨制猫头盔
0x0F1B5BF3	击晕珠【1】
0x0F3569CB	狱焰蛸狩猎证
0x0F39868B	单手剑##BuffGlow
0x0F4B8265	适应水域·油泥
0x0F7C1B7F	赫猿兽猫铠甲
0x0F7C94E6	雪狮子的刚毛
0x0FA10FAD	爆师护石Ⅱ
0x0FC6EB1F	缠蛙锤Ⅳ 
0x0FE07306	名字
0x0FE3F165	沙海龙的尾巴
0x0FEAA816	火龙的上等鳞
0x0FF0E0A2	投射器雷光弹
0x10123DD7	巨蜂 
0x10151D77	闪光强化
0x102266BD	护辟兽猫铠甲α
0x1022C7FF	MOD会照着这个说明去做。
0x103985E9	餐点蛮干术
0x1049B07C	冰结·利刃珠【3】
0x107DA8E1	反攻珠【3】
0x108E233D	嗜菇护石Ⅲ
0x1091AFE1	火炎袋
0x109E6440	积弹珠Ⅲ【3】
0x10ACD1E2	骨制虫棍Ⅰ 
0x10ACD961	天狗兽
0x10DC4A54	刺花棍Ⅰ 
0x10E7399B	风铗龙猫帽
0x10FD8E27	叠翅凤蝶
0x11026DB6	煌雷龙狩猎证
0x110BDC5B	煌雷弩Ⅰ 
0x11100833	德语
0x111C6B28	双重螺旋 
0x111E9C08	桃毛兽王α 
0x111F46DC	风铗龙猫衣α
0x111FC399	飞龙刀【翠】Ⅰ 
0x1124B2FC	原初创世纪 
0x1128C6AC	雪狮子王猫身体α
0x112EF6D2	希望兵装Ⅴ 
0x114F1AA3	煌雷弓Ⅲ 
0x1153286D	冻峰金属棍Ⅰ 
0x115E5EF1	白炎翼剑Ⅱ 
0x1186853F	沼喷龙猫脑α
0x11874494	钓竿
0x1187FEE6	裂伤耐性
0x11946521	毒弹
0x11D3B862	影蜘蛛锐棘球锤 
0x11F497D9	合金盾斧 
0x12144A66	波涛双棍Ⅱ 
0x121C329C	狱焰蛸猫头部
0x12460550	嗟怨震天怨虎龙
0x125778D6	 任务 绑定快捷键
0x1261B992	高 (" .. VolumetricFogTextureSizes[1] .. ")
0x12628D70	清除任务
0x12781F75	护辟兽的牙
0x129A90D6	爆破珠Ⅲ【3】
0x12B30A92	力量解放
0x12E4104A	强走护石Ⅱ
0x12EE9390	妃龙炮【飞击】 
0x12FE801A	级出现怪异化任务的概率
0x132350E6	利刃珠Ⅱ【2】
0x13504437	力量of破灭 
0x136D3436	痹瓶珠【3】
0x1371DFE5	希望兵装Ⅰ 
0x13A74069	盔速龙 
0x13B1F7E2	希望加农炮Ⅴ 
0x13C4E739	射法珠Ⅱ【2】
0x13DF878B	大师等级1
0x13E6C342	怪鸟β 
0x13E90CBA	插槽##AmuletSlots%d
0x1438A7C1	煌雷龙的雷电角
0x144E4179	弹道强化
0x145FB4A7	护雷白矛Ⅰ 
0x147214F3	强壁·冰结珠【3】
0x148B64E0	大型怪物
0x148DFD6A	蓄幅·击晕珠【3】
0x1494F6AB	耐冲护石Ⅰ
0x14A62172	雌火龙狩猎证 S
0x14ABAB73	血盗虫α 
0x14DDCC2B	阿孜兹猫身体α
0x14DF891E	大师等级2
0x14EE1FA0	镜头变形
0x152C6FE8	耐眠护石Ⅰ
0x155B88E6	波衣龙β 
0x158184E0	锁刃盾斧·高文 
0x1599836F	炎尾龙 
0x15C90715	雷光珠Ⅲ【3】
0x15D8625E	餐点幸运术
0x15DF8AB1	大师等级3
0x15E1BAA4	骨斧Ⅲ 
0x15FD5B55	全开护石Ⅱ
0x1605F916	兵之甲冑 
0x161AB566	冰结·昂扬珠【3】
0x161B71FC	麻痹铳枪Ⅱ 
0x1648C839	怪鸟猫衣服α
0x1658E52B	光水晶
0x165969E5	冰结珠【1】
0x165F6410	刺花蜘蛛的甲壳
0x16669569	所有怪异BOSS都是委托目标
0x16786FCB	嗜菇护石Ⅰ
0x168F268E	公主爆裂铳枪Ⅰ 
0x168FC3B0	击蚀风剪轻弩 
0x16A0EAE1	骨制反曲刀Ⅱ 
0x16D95474	修改心眼和弱点特效的颜色为指定颜色
0x16DD7395	虚无之剑Ⅰ 
0x16DF8C44	大师等级4
0x16E613EA	强走珠【1】
0x1709326C	护火龙 
0x1714B39D	破龙珠Ⅲ【3】
0x17375C87	抗狂护石Ⅰ
0x17AB0B90	毒王 
0x17DE4C79	断崖金属棍 
0x17DF8DD7	大师等级5
0x1825563A	镰鼬龙王
0x1833D99A	火炎·利刃珠【3】
0x1837F306	狱焰蛸狩猎证 S
0x1838A377	护火龙的上等鳞
0x18445C71	餐点随从指导术
0x1870CA9D	暴怒护石Ⅰ
0x187B9F7B	炎尾炮Ⅰ 
0x18930695	防风护石Ⅲ
0x18B049C8	目标数量
0x18B3A456	睡眠弹
0x18BB7BB5	绯天狗兽
0x18BB8B4B	卡利斯托辟虐弓 
0x18C81810	陷阱工具
0x18D149DB	风月牙枪Ⅲ 
0x18DF8F6A	大师等级6
0x1902DB01	护凶爪龙 
0x1946DC0D	耐防护石Ⅱ
0x19524257	积弹·破龙珠【3】
0x199552A9	排除小型怪物任务
0x19B10F7B	刺花双镰Ⅲ 
0x19C13D2A	盾突龙
0x19D9D4E1	防御护石Ⅲ
0x19FA8278	妃蜘蛛
0x19FEC0CE	期冀虫棍 
0x1A2F9F22	投射器爆炸弹
0x1A53766A	机械长枪Ⅰ 
0x1A5659B2	冻峰龙的上等鳞
0x1A716FBB	友爱护石Ⅰ
0x1A82C6F0	强壁珠【1】
0x1ABF16C3	护锁刃盾斧·高文 
0x1AE11376	暗器蛸的暗玉
0x1B1DAF25	怪异化调查任务最低等级
0x1B2DBF24	利刃·铁壁珠【3】
0x1B4BEE3C	狂野肉干
0x1BBAF353	护龙的净血
0x1BC23443	火炎·属会珠【3】
0x1BC49356	底力珠【2】
0x1BCEB6FC	影蜘蛛破坏弩Ⅰ 
0x1BE02BE4	白炎盾斧Ⅱ 
0x1BE34F6C	新鲜蜂蜜
0x1BECC1AF	桃毛兽的刚毛
0x1BFB85B6	蓄击强化
0x1C07604A	古怪双球锤 
0x1C0CFE06	赫猿兽猫金碎棒
0x1C182A7D	缓冲珠【1】
0x1C235297	护锁刃轻弩Ⅰ 
0x1C2F4812	锁刃龙猫头盔α
0x1C47A19B	整备护石Ⅱ
0x1CB093FB	举例：
0x1CD87D4E	毒蛛刺花刀 
0x1CF4668A	钳速龙β 
0x1D064679	弱点特效
0x1D12FD80	耐水护石Ⅰ
0x1D1521B1	昂扬珠【1】
0x1D21574F	护凶爪龙猫锁镰α
0x1D43AE8A	辟兽狩猎证 S
0x1D4DD059	下位
0x1D8C0DF5	赫炎笛·戍博迦 
0x1D9358FD	敛翅长蛾
0x1DAA06F8	雌火龙β 
0x1DB6E80D	捕获用麻醉飞刀
0x1DC26BF8	火龙的延髓
0x1DCC3A69	冰结·属会珠【3】
0x1DD04784	排除已发布任务
0x1DD36428	辟兽的皮
0x1DF00362	熔翁龙
0x1DF392E4	调查团票
0x1E0ACAE4	特会珠Ⅲ【3】
0x1E24356F	酥加α 
0x1E26CB27	煌雷龙的雷玉
0x1E446314	移除玩家的效果##CBShield
0x1E484CDB	锁刃斩斧Ⅰ 
0x1E503F55	骨铳枪Ⅰ 
0x1E61061F	决定了慢动作的过渡速度的快慢。
0x1E65B5CE	 修改为 
0x1E6BE936	沙海龙的黑珍珠
0x1E9B8F0F	强壁·匠珠【3】
0x1EBAF9BB	虚无之锤Ⅱ 
0x1EBC6129	威吓护石Ⅰ
0x1EF6A21F	护辟兽的皮
0x1EF77C6F	沙海龙猫钻头
0x1F01C6AE	移除玩家的效果##HBCharge
0x1F36B76F	骨号角Ⅲ 
0x1F58D324	护凶爪龙猫铠甲
0x1F5A8144	耐火护石Ⅱ
0x1F5BB73D	汉方药
0x1F66990E	烤鱼
0x1F75DD85	早气护石Ⅰ
0x1F9A247E	携带食料
0x1FC3342E	赤甲大嘴之怪鸟矛 
0x1FF6216F	麻痹生肉
0x201F297C	正常比例(中, 通常为1.00)
0x2027CF8C	煌雷刀Ⅰ 
0x202B49C8	补给专用大异臭弹
0x2031CBF7	曼陀罗
0x20369A4A	餐点水心术
0x203884E4	冻峰龙的层角
0x20388AB4	单人模式
0x2081F94C	泰坦重剑 
0x20850F1C	合金猫铠甲
0x2098F280	辟虐弓Ⅰ 
0x20AC534A	移除所有玩家的效果##BowCharge
0x20BE5FC3	禁用其他镜头
0x20BEACFC	希望大锤Ⅰ 
0x20D54D60	加护护石Ⅰ
0x20F49242	排除非法的怪异化调查任务
0x20F9D1FC	缠蛙的上等鳞
0x21038640	增弹·攻击珠【3】
0x2105EA5F	耐雷珠【1】
0x213E417B	破龙·利刃珠【3】
0x2168AAEF	转福珠【2】
0x21803AD1	老旧武器碎片·筒
0x21971B5B	毒蛛刺花长枪 
0x21AFD410	火龙
0x21B7A68B	铠龙勇士 
0x21EDD974	移除所有玩家的效果##CBSword
0x221D2D1F	焰火点数倍率
0x222F3F66	隐秘潜行虫棍 
0x2230E8D5	刺花盾斧Ⅱ 
0x22490DD3	异界三钴杵Ⅱ 
0x225B4F42	桃毛兽王的爪
0x22621520	护雷颚龙的上等鳞
0x226CEDA1	白色加农炮 
0x226F3B8D	艳色蛋白石化石
0x227E1C82	麻痹大剑Ⅳ 
0x22D56E86	白猿钗Ⅰ 
0x22E126E3	捕获用麻醉弹
0x22EDB568	挑战者
0x23447F3E	刺花双镰Ⅱ 
0x234A635C	减气瓶
0x234FC34F	煌雷龙猫【薙刀】
0x2353AA30	一夜花的月华粉
0x236481DF	日饵弓 
0x23810A66	无我之境
0x2390041C	护火龙的红玉
0x23A02799	骨号角Ⅰ 
0x23CE0997	守护之护符
0x23D6B0C9	女武神之火Ⅰ 
0x23ECB91F	钝器珠Ⅲ【3】
0x24112445	黑蚀龙狩猎证 S
0x24216591	逆袭护石Ⅲ
0x242C995A	拔刀术【力】
0x243416C0	绵绵蛋
0x244C9369	数量
0x245EDFBA	餐点生命保险
0x247153B5	麻痹大剑Ⅱ 
0x24C1EAEE	红剑
0x2518F66E	飞龙刀【葵】 
0x2522B9DE	毒笛狂想曲Ⅰ 
0x25263BB3	怪鸟之歌Ⅱ 
0x2533A06B	黑蚀龙
0x253B891D	发光宝珠·铠
0x2544FD9C	耐龙护石Ⅲ
0x257630E2	类型选择
0x2583252B	冰呪龙
0x25927888	护火龙猫头盔α
0x259ACF0B	斑驳金石
0x25B25D77	护锁刃龙猫铠甲
0x25DC8720	装备中的衣装
0x25FAC128	摩天楼 
0x260F25E9	咬鱼 
0x261FC392	狱焰盾斧Ⅰ 
0x262A079E	护火龙棍Ⅱ 
0x2636FA0D	希望轻弩Ⅴ 
0x263B10D0	极彩色的毛
0x26482958	暗器蛸的触手
0x266EEB8D	皮制α 
0x267745CA	远程
0x2686688F	炎尾龙的鳞
0x26972B94	攻势珠【3】
0x26C400CB	狂澜波涛铳枪 
0x26F7B06B	怪鸟双耳Ⅰ 
0x2714D2AD	耐雷护石Ⅰ
0x271FB5DC	地质学
0x272D91D5	铁制猫剑
0x2750A5D9	耐裂护石Ⅲ
0x2760898E	攻势
0x276219EA	煌雷霹雳棍 
0x27715A4B	龙姬斩斧Ⅰ 
0x27739C79	音速号角Ⅰ 
0x279684C4	骨制发射器Ⅰ 
0x27B37E36	无伤护石Ⅰ
0x27B57A60	斩裂弹
0x27EC1C35	炎尾弓Ⅲ 
0x27F03BDB	指示随从
0x280A1F4B	白炎翅笛Ⅰ 
0x28166BDB	最低 (" .. VolumetricFogTextureSizes[2] .. ", 隐藏)
0x281BE2B0	酥加猫服饰α
0x28235C7D	各星级怪物在
0x282D29BE	大泥虾
0x282F6801	属会·流水珠【3】
0x28457E12	冻峰金属杖Ⅰ 
0x284932BB	投射器诱导弹
0x2851D487	冰结·初弹珠【3】
0x2868E311	青熊兽
0x287583BF	破镜双刃 
0x2880E57C	突蚀风月牙枪 
0x2888321D	骨制 
0x28BF90D0	煌雷枪Ⅰ 
0x28C4AD02	巨颚 
0x28C7998B	鬼人化
0x28D4C9B2	属会·雷光珠【3】
0x28E2D7E3	辟轰笛Ⅱ 
0x28E4AABF	投射器大异臭弹
0x28EE624B	猫猫粗呢大衣
0x293D7E38	辟轰笛Ⅲ 
0x299019EF	粗壮护骨
0x299F446B	钝器珠Ⅱ【2】
0x29ACEF95	泰坦战车弩 
0x29AF8E8C	炎尾龙猫铠甲
0x29AFDE08	乌鸦of撕裂者Ⅰ 
0x29CA3C17	缠蛙强劈棒 
0x29DB0F4A	随机下位任务
0x29DB8218	小木桶
0x29DC2519	初弹·冰结珠【3】
0x29FBBB21	极彩色的刚毛
0x2A47F80E	护锁刃笛Ⅱ 
0x2A5DFB8A	历战狩猎之证Ⅰ
0x2A71D7FA	柔和度
0x2A8224E7	影蜘蛛柔韧弓Ⅱ 
0x2A87753D	影蜘蛛狩猎证
0x2AB99021	煌雷枪Ⅱ 
0x2AD2B7BF	耐雷护石Ⅲ
0x2ADA210D	狂野放臭者 
0x2B0E4AE4	昂扬·匠珠【3】
0x2B39EA01	冷冻旗鱼Ⅰ 
0x2B531D7D	加载游戏默认值
0x2B57D141	护锁刃双剑Ⅰ 
0x2B69AA03	西纳托拟态虫
0x2B6AEC04	有效性检查: 插槽##FilterSlots%d
0x2B8E0263	猎弓Ⅱ 
0x2BA9791F	隆炉球石
0x2BC43B8B	波涛铳枪Ⅱ 
0x2BDF6850	风铗龙的旧壳
0x2BEEDCB9	讨伐
0x2C17AC3E	白炎双剑Ⅰ 
0x2C52F367	混铅盾斧Ⅰ 
0x2C6255FD	银蛋
0x2C6D51FA	积弹·铁壁珠【3】
0x2C9EA8F9	大地结晶
0x2CAA801A	餐点骑乘好手
0x2CB3AF10	毒伤害强化
0x2CBEAD13	期冀双匕 
0x2CCE8E9C	东部蜂蜜
0x2CF9BA98	红盾
0x2D6E1310	钢铁疾风Ⅱ 
0x2D96EBD7	女王旋律 
0x2DB86576	兽颚Ⅰ 
0x2DD1A719	烟果实
0x2DD8CB80	雌火龙
0x2DEAD537	喷火炎尾铳枪 
0x2E0C34C9	使用此方法时其他人无法加入您发布的任务。\n
0x2E1A1758	重铠玉
0x2E3F3694	锁刃龙的尾巴
0x2E74DD99	护凶爪龙的硬肌
0x2E779779	移除玩家的效果##DBDemon
0x2E7C541F	挑战护石Ⅱ
0x2EB0F403	防风护石Ⅰ
0x2EBE5A36	天堑芦荟
0x2EC68A8F	锁刃弓Ⅰ 
0x2ECE0F82	再生衣装
0x2EE03333	兽骨
0x2EECDB1F	雌火龙猫头盔α
0x2EEE15D7	移除所有玩家的效果##DBDemon
0x2EF13280	辟兽β 
0x2F1166C8	铁锤Ⅰ 
0x2F23A3CA	黑蚀龙的上等鳞
0x2F44D210	圣骑士长枪Ⅰ 
0x2F4FA20A	纳刀护石Ⅱ
0x2F59733D	波衣龙α 
0x2F63EB85	风铗龙的上等飞膜
0x2F711013	骨制猫铠甲
0x2F96E608	狱焰蛸的浓油膜
0x2F97CDF7	沙原
0x2FAEABB0	希望α 
0x2FAF096F	缠蛙的皮
0x2FB62CB4	散弹珠【3】
0x2FBB5E61	捕获
0x2FE04F69	希望之刀Ⅳ 
0x2FF14D22	落穴陷阱
0x30025399	加入
0x302A5050	狂澜波涛双棍 
0x304140DC	护锁刃大剑Ⅱ 
0x3089487C	守势·破龙珠【3】
0x30A9714A	太刀
0x30B0B49E	护锁刃斩斧·珀西瓦里 
0x30B41D56	霞龙
0x30C59A4B	骨长枪Ⅲ 
0x30DD4F06	煌雷棍Ⅲ 
0x30F71D7B	焰火盾斧Ⅰ 
0x30F86B81	风钩刀Ⅲ 
0x3120640F	裂蚀风戟斩斧 
0x312417D1	耐爆珠【1】
0x3132A80A	狱焰大剑Ⅱ 
0x313996E3	破坏者猎弩 
0x313F0181	锁刃剑·亚瑟 
0x3154152F	强壁·铁壁珠【3】
0x317CF7CE	狱焰斩斧Ⅱ 
0x31855F33	机械防御者Ⅱ 
0x31858D21	谜之宝珠·剑
0x3185B696	机械双刃Ⅱ 
0x31892C7F	耐麻珠【1】
0x3192D9C0	异界之炎Ⅱ 
0x31BCDC66	破龙·射法珠【3】
0x31D3FDD5	缠蛙的坚缠甲
0x31DC9BB7	狱焰蛸α 
0x31F24132	遗憾 
0x31F77CA4	灵鹤石
0x31FE4A5E	原初形态爵银龙
0x320B0492	成熟龙都酸浆
0x321F188F	炎尾双刃Ⅲ 
0x322AABC9	波涛盾斧Ⅰ 
0x324DC7A5	积分类型
0x3257ADBA	缠蛙破坏炮Ⅲ 
0x325A5B2B	雪狮子王之斗志
0x3266EFD8	影蜘蛛的坚壳
0x327C197E	治愈护石Ⅰ
0x327ED714	煌雷霹雳刀 
0x3284C461	暗器蛸的爪
0x32FCC9A5	护辟兽狩猎证 S
0x3327FAA1	甲虫之拟态
0x333474C9	废神社
0x336676B8	因祸得福
0x3367C4BB	风钩刀Ⅰ 
0x33705A2B	护石类型 
0x33779918	沼喷盾斧Ⅱ 
0x3380CFED	波衣龙狩猎证
0x338FBE97	护雷白斧Ⅰ 
0x339E1530	锁刃护石Ⅰ
0x33A05996	投射器重斩裂弹
0x33AA23BD	餐点休息术
0x33C2FEB0	植学护石Ⅰ
0x33DE62E6	回归球
0x33FA455D	破龙·积弹珠【3】
0x34225CE9	沼喷盾斧Ⅲ 
0x343139A2	黑蚀龙β 
0x34538B47	排除上位任务
0x3457CB50	泥虾
0x3467D456	捕获用网子
0x347AC6C1	蓄力大师
0x347F28C5	狱焰炮Ⅰ 
0x349AE52D	刺身鱼鳞片
0x34B94C77	源流隆炉球
0x34DD1ACF	超心珠Ⅲ【3】
0x35050165	带战伤的鳞
0x3506BD97	黯灰金碎屑
0x3514B5CF	护辟兽 
0x351A267E	锁刃突袭弩Ⅰ 
0x353BFBB1	阳极炎尾双刃 
0x353C87BF	护卫白炎双剑 
0x353CA322	刺花斩斧Ⅲ 
0x35452998	护凶爪龙猫头盔α
0x3548C514	餐点体术【小】
0x356F05B9	金蛋
0x357593A1	煌雷弩Ⅲ 
0x357F82BB	回避珠【2】
0x3581B7FB	对所有怪物激活慢动作
0x359E614B	护锁刃铳枪·鲍斯 
0x35A7E313	赤尾长枪Ⅰ 
0x35D3D422	雌火龙的坚壳
0x35D8776D	狱焰蛸猫头部α
0x3604BE60	恶蛸狱焰长枪 
0x36063CEA	翼龙的上等皮
0x360A3037	老旧武器碎片·刃
0x3627DCDB	冻峰龙的冰玉
0x362B3E1C	公主细剑Ⅰ 
0x36373552	远古秘药
0x366DF828	辣椒
0x36796096	对随从生效##StdGlow
0x36857914	锁刃龙的尖角
0x36872956	赫炎双刃Ⅱ 
0x36943FC7	桃毛斩斧Ⅰ 
0x36959CB9	妃龙炮【远击】Ⅱ 
0x3696E57D	刺花长枪Ⅲ 
0x36C5B23A	赫猿兽的延髓
0x36D5B5A2	怪鸟矛Ⅰ 
0x36E88456	沼喷啄锤Ⅰ 
0x36F250E1	钳速龙α 
0x36FF70BB	打磨·击晕珠【3】
0x37036EC2	波衣龙 
0x3707A01E	影蜘蛛破坏弩Ⅲ 
0x37146AAB	恶蛸狱焰盾斧 
0x37156447	耐震护石Ⅱ
0x371E0E2A	耐裂护石Ⅱ
0x372D3DC4	恶蛸狱焰斩斧 
0x372FC2B4	混铅盾斧Ⅱ 
0x373FAF85	雷狼龙
0x37524E54	沼喷狙击炮Ⅰ 
0x376321E0	波衣龙猫披肩α
0x376FFBE1	冬龙夏草
0x37868588	缠蛙狼牙棒Ⅱ 
0x378B2E30	属性变换
0x378B3F42	桃毛兽王猫铃鼓
0x37C5454F	防御护石Ⅰ
0x37D3F5D0	怪物 3
0x37D65360	炎尾龙猫头盔α
0x37EE2BC0	赫炎铳枪·迦理迦 
0x37F40018	排除自制任务
0x37F70D07	鬼人兽
0x3811741C	刺花短剑Ⅱ 
0x381786E0	希望护石
0x3820A031	查询: 白兔兽；城塞高地
0x382D9D0C	控制中断
0x385DD16C	断崖金属铳 
0x38615D7A	飞龙刀【翠】Ⅱ 
0x386B50A4	达艺珠【3】
0x386E7FA3	编辑任务
0x3876EA83	煌雷霹雳剑 
0x387DF990	炽妃蜘蛛
0x38815ADD	风铗龙的尾爪
0x38873357	龙穿弓Ⅲ 
0x38B5B759	耐麻护石Ⅰ
0x38C17B70	大桶爆弹
0x38D3F763	怪物 2
0x38DE0677	荆轲之暗琴 
0x38EDE681	火龙碎锤 
0x38FD5D38	属性异常耐性
0x39141D93	火龙炮Ⅰ 
0x394203BF	不在任务中...
0x395265E9	缠蛙锤Ⅲ 
0x39B0321E	启用SDR自定义伽玛和亮度
0x39B388B8	影蜘蛛球锤Ⅲ 
0x39BDEB74	属会珠Ⅱ【2】
0x39BEC243	注意：自动连射在重弩蹲射模式时不生效
0x39CAF5E8	护雷白刀Ⅰ 
0x39F0C252	火炎珠Ⅱ【2】
0x3A169ACA	要排除怪异化任务等级
0x3A1C0D7E	水冷弹
